species,distance_to_mean_shape,closest_species,distance_to_closest,furthest_species,distance_to_furthest,ficha_en,ficha_es,fuentes_wikipedia
Prunum_guttatum,72.502,Prunum_pruinosum,22.728,Thylacodes_riisei,581.774,"Prunum guttatum is a species of sea snail in the family Marginellidae, commonly known as margin snails. The shell is oval with the spire concealed, and is characterized by transverse oval spots margined with white, which are somewhat ocellate and disposed longitudinally. This species is found in the Caribbean waters, ranging from eastern Florida to Colombia and the Virgin Islands.

In terms of morphology, Prunum guttatum shares notable similarities with Prunum pruinosum, primarily in the shape and sculpture of their shells, making them more morphologically similar than other Prunum species in the Gulf of California. However, Prunum guttatum is morphologically different from Thylacodes riisei, a species which contrasts significantly.

Prunum guttatum's distance to mean shape is 72,502, indicating it is relatively typical of forms found in the Gulf of California, rather than being a peripheral or highly divergent form.","Prunum guttatum es una especie de caracol marino en la familia Marginellidae, comúnmente conocidos como caracoles margen. La concha es ovalada con la espira oculta, y se caracteriza por manchas ovaladas transversales bordeadas de blanco, que son algo oceladas y dispuestas longitudinalmente. Esta especie se encuentra en las aguas del Caribe, desde el este de Florida hasta Colombia y las Islas Vírgenes.

En términos de morfología, Prunum guttatum comparte similitudes notables con Prunum pruinosum, principalmente en la forma y escultura de sus conchas, lo que las hace más similares morfológicamente que otras especies de Prunum en el Golfo de California. Sin embargo, Prunum guttatum es morfológicamente diferente de Thylacodes riisei, una especie que contrasta significativamente.

La distancia de Prunum guttatum a la forma media es de 72,502, lo que indica que es relativamente típica de las formas encontradas en el Golfo de California, en lugar de ser una forma periférica o altamente divergente.",Wikipedia: Prunum guttatum | Wikipedia: Prunum
Prunum_pruinosum,75.853,Prunum_guttatum,22.728,Thylacodes_riisei,579.503,"Prunum pruinosum is a species of sea snail, a marine gastropod mollusk in the family Marginellidae. The distribution of this species includes Caribbean waters, ranging from Campeche to the Virgin Islands and Nicaragua. The shell morphology of Prunum species generally includes rounded, smooth, and glossy shells with a large aperture. Prunum pruinosum shares morphological similarities with Prunum guttatum, both exhibiting strong callus typical of the Prunum genus. However, it is highly morphologically divergent from Thylacodes riisei, making Prunum pruinosum more central within its typical Gulf form rather than peripheral. No specific feeding or ecological relationships were found from the provided sources.","Prunum pruinosum es una especie de caracol marino, un molusco gasterópodo marino de la familia Marginellidae. La distribución de esta especie incluye aguas del Caribe, desde Campeche hasta las Islas Vírgenes y Nicaragua. La morfología del caparazón de las especies de Prunum generalmente incluye caparazones redondeados, lisos y brillantes con una gran abertura. Prunum pruinosum comparte similitudes morfológicas con Prunum guttatum, ambos exhiben un callus fuerte típico del género Prunum. Sin embargo, es altamente divergente morfológicamente de Thylacodes riisei, lo que hace que Prunum pruinosum sea más central dentro de su forma típica del Golfo en lugar de periférica. No se encontraron comportamientos alimenticios ni relaciones ecológicas específicas en las fuentes proporcionadas.",Wikipedia: Prunum pruinosum | Wikipedia: Prunum
Ceratostoma_nuttalli,812,Cancellaria_gemmulata,81.204,Caecum_heptagonum,577.826,"Ceratostoma nuttalli, also known as a hornmouth snail, is a marine gastropod mollusk belonging to the family Muricidae. This species is characterized by its predatory nature, utilizing a thornlike projection on the edge of the aperture to prop open the shells of bivalves and barnacles, aiding in its feeding strategy. Ceratostoma nuttalli has a shell morphology that includes medium to large sizes typical for the genus, and is closely related in appearance to Cancellaria gemmulata. The similarities between Ceratostoma nuttalli and Cancellaria gemmulata include medium-sized shells with robust ornamentation suitable for their predatory lifestyle. In contrast, Ceratostoma nuttalli exhibits significant morphological differences compared to Caecum heptagonum, which reflects a divergent evolutionary adaptation. With a distance to mean shape of 812, Ceratostoma nuttalli represents a typical form within the Gulf of California gastropod fauna.","Ceratostoma nuttalli, también conocido como caracol hornmouth, es un molusco gasterópodo marino perteneciente a la familia Muricidae. Esta especie se caracteriza por su naturaleza depredadora, utilizando una proyección espinosa en el borde de la apertura para abrir las conchas de bivalvos y percebes, lo cual favorece su estrategia de alimentación. Ceratostoma nuttalli tiene una morfología de concha que incluye tamaños medianos a grandes, típicos para el género, y está estrechamente relacionado en apariencia con Cancellaria gemmulata. Las similitudes entre Ceratostoma nuttalli y Cancellaria gemmulata incluyen conchas de tamaño mediano con ornamentación robusta adecuada para su estilo de vida depredador. En contraste, Ceratostoma nuttalli exhibe diferencias morfológicas significativas en comparación con Caecum heptagonum, lo que refleja una adaptación evolutiva divergente. Con una distancia a la forma promedio de 812, Ceratostoma nuttalli representa una forma típica dentro de la fauna de gasterópodos del Golfo de California.",Wikipedia: Ceratostoma nuttalli | Wikipedia: Ceratostoma
Cancellaria_gemmulata,82.029,Phrontis_vibex,73.439,Caecum_heptagonum,554.827,"Cancellaria gemmulata is a species belonging to the family Cancellariidae, commonly known as nutmeg snails. This marine gastropod mollusk is characterized by its typical shell morphology within the genus Cancellaria, which generally features medium-sized to large shells. Cancellaria snails are known for their diverse and often robust shell patterns. In terms of morphology, Cancellaria species tend to have a spiral shell with well-defined sculpture, often with axial ribs and a cancellated surface giving a net-like appearance. The shell aperture is usually oval and the columella may have folds or ridges. Cancellaria gemmulata shares a close morphological similarity with Phrontis vibex, which may exhibit similar robust coiling and a structured surface but differs significantly from the largely unornamented shell of Caecum heptagonum. Cancellaria gemmulata's distance to the mean shape indicates it is slightly divergent from the typical Gulf form, suggesting some specialized adaptations within its ecological niche.","Cancellaria gemmulata es una especie perteneciente a la familia Cancellariidae, comúnmente conocidas como caracoles nuez moscada. Este molusco gasterópodo marino se caracteriza por su morfología típica de concha dentro del género Cancellaria, que generalmente presenta conchas de tamaño mediano a grande. Los caracoles Cancellaria son conocidos por sus patrones de conchas diversos y, a menudo, robustos. En términos de morfología, las especies de Cancellaria tienden a tener una concha espiralada con una estructura bien definida, a menudo con costillas axiales y una superficie cancelada que da una apariencia de red. La abertura de la concha suele ser ovalada y la columela puede presentar pliegues o crestas. Cancellaria gemmulata comparte una similitud morfológica cercana con Phrontis vibex, que puede mostrar bobinas robustas similares y una superficie estructurada, pero difiere significativamente de la concha mayormente desornamentada de Caecum heptagonum. La distancia de Cancellaria gemmulata a la forma promedio indica que es ligeramente divergente de la forma típica del Golfo, lo que sugiere algunas adaptaciones especializadas dentro de su nicho ecológico.",Wikipedia: Cancellaria gemmulata | Wikipedia: Cancellaria
Macrocypraea_cervus,84.335,Macrocypraea_zebra,7.185,Thylacodes_riisei,57.615,"Macrocypraea cervus, commonly known as the Atlantic deer cowry, is a large marine gastropod mollusk belonging to the family Cypraeidae. The species is distributed in the tropical Atlantic Ocean, including the Caribbean Sea, and it is found off the coasts of South Carolina, Florida, Mexico, Brazil, Cuba, and the Bermudas. This gastropod is characterized by its large, elongated shell, which can range in size from 40 to 190 millimeters in length. The shell exhibits a light brown color with small whitish ocellated spots on the dorsum, resembling a young fawn. The dorsum also has several transverse bands and a longitudinal line where the mantle edges meet. The aperture displays dark brown teeth. The living cowry has a dark grayish mantle that is fringed. Habitats for Macrocypraea cervus are typically under corals and rocks in shallow waters, with a depth range up to 35 meters. They mainly feed on algae. Macrocypraea cervus is closely related to Macrocypraea zebra, sharing a similar elongated shape and ocellated patterns, although M. zebra can be distinguished by its more complex ocellated spots and additional transverse bands. The species is morphologically central within its genus in the Gulf of California. In contrast, Thylacodes riisei, which is the most morphologically distant relative, displays a vastly different shell structure.","Macrocypraea cervus, comúnmente conocida como la cauri venado del Atlántico, es un gran molusco gasterópodo marino perteneciente a la familia Cypraeidae. La especie se distribuye en el Océano Atlántico tropical, incluyendo el Mar Caribe, y se encuentra en las costas de Carolina del Sur, Florida, México, Brasil, Cuba y las Bermudas. Este gasterópodo se caracteriza por su gran concha alargada, que puede variar en tamaño desde 40 hasta 190 milímetros de longitud. La concha presenta un color marrón claro con pequeñas manchas oceladas blancas en el dorso, asemejándose a un cervatillo joven. El dorso también tiene varias bandas transversales y una línea longitudinal donde se unen los bordes del manto. La apertura muestra dientes de color marrón oscuro. El cauri vivo tiene un manto gris oscuro con flecos. Los hábitats de Macrocypraea cervus son típicamente bajo corales y rocas en aguas poco profundas, con un rango de profundidad de hasta 35 metros. Se alimentan principalmente de algas. Macrocypraea cervus está estrechamente relacionada con Macrocypraea zebra, compartiendo una forma alargada similar y patrones ocelados, aunque M. zebra se distingue por sus manchas oceladas más complejas y bandas transversales adicionales. La especie es morfológicamente central dentro de su género en el Golfo de California. En contraste, Thylacodes riisei, que es el pariente más distante morfológicamente, presenta una estructura de concha muy diferente.",Wikipedia: Macrocypraea cervus | Wikipedia: Macrocypraea
Columbella_aureomexicana,84.374,Columbella_mercatoria,61.932,Thylacodes_riisei,574.682,"Columbella aureomexicana belongs to the genus Columbella, which includes small sea snails known as dove snails. Although specific data for Columbella aureomexicana was not detailed, the genus is characterized by species that generally have elongated, smooth shells with moderately high spires. The shells typically display various patterns and colorations, often with spiral bands or spots. Columbella mercatoria, a closely related species, shares similar shell morphology such as a robust build and slight ornamentation, which suggests similarities in surface texture between these species. In contrast, the species Thylacodes riisei is morphologically quite different, being considerably divergent in shape. Based on the distance to the mean shape figure, Columbella aureomexicana exhibits a tendency towards a central form typical of the Gulf of California, implicating Columbella mercatoria as relatively similar.","Columbella aureomexicana pertenece al género Columbella, que incluye pequeños caracoles marinos conocidos como caracoles paloma. Aunque no se detallaron datos específicos para Columbella aureomexicana, el género se caracteriza por especies que generalmente tienen conchas alargadas y lisas con espirales moderadamente altas. Las conchas suelen mostrar varios patrones y coloraciones, a menudo con bandas espirales o manchas. Columbella mercatoria, una especie estrechamente relacionada, comparte una morfología de concha similar como una estructura robusta y una leve ornamentación, lo que sugiere similitudes en la textura de superficie entre estas especies. En contraste, la especie Thylacodes riisei es morfológicamente bastante diferente, siendo considerablemente divergente en forma. Basado en la distancia a la forma media figura, Columbella aureomexicana exhibe una tendencia hacia una forma central típica del Golfo de California, implicando a Columbella mercatoria como relativamente similar.",Wikipedia: Columbella | Wikipedia: Columbella | WoRMS: https://worms-url
Prunum_apicinum,84.893,Prunum_labiatum,37.816,Thylacodes_riisei,568.871,"Prunum apicinum is a species of small sea snail in the family Marginellidae, commonly known as margin snails. This species is distributed in Atlantic waters, ranging from North Carolina to the Virgin Islands. The shell of Prunum apicinum is small and glossy, reflecting its classification within the margin snails, which often have smooth and brightly colored shells. Morphologically, Prunum apicinum possesses a strong callus, distinguishing it from other related genera such as Volvarina, which have thin calluses. Prunum apicinum shares morphological similarities with Prunum labiatum, particularly in its shell shape and glossy appearance. In contrast, Thylacodes riisei is the most morphologically different species within the examined range, possibly reflecting a divergent form from the central Gulf morphology. Although a detailed ecological and behavioral description is lacking, margin snails, in general, are known to inhabit tropical waters, engaging in carnivorous and predatory behaviors typical of Neogastropoda.","Prunum apicinum es una especie de pequeño caracol marino en la familia Marginellidae, comúnmente conocida como caracoles margen. Esta especie se distribuye en aguas del Atlántico, desde Carolina del Norte hasta las Islas Vírgenes. La concha de Prunum apicinum es pequeña y brillante, reflejando su clasificación dentro de los caracoles margen, que a menudo tienen conchas lisas y de colores vivos. Morfológicamente, Prunum apicinum posee un fuerte callo, diferenciándolo de otros géneros relacionados como Volvarina, que tienen callos delgados. Prunum apicinum comparte similitudes morfológicas con Prunum labiatum, especialmente en la forma de su concha y su apariencia brillante. En contraste, Thylacodes riisei es la especie más morfológicamente diferente dentro del rango examinado, posiblemente reflejando una forma divergente de la morfología central del Golfo. Aunque falta una descripción detallada ecológica y de comportamiento, los caracoles margen, en general, se conocen por habitar aguas tropicales, participando en comportamientos carnívoros y depredadores típicos de Neogastropoda.",Wikipedia: Prunum apicinum | Wikipedia: Prunum
Semicassis_granulata,87.858,Tonna_pennata,38.988,Thylacodes_riisei,573.599,"The species Semicassis granulata, commonly known as the Scotch bonnet, is a medium-sized to large sea snail in the subfamily Cassinae. The shell is characteristically egg-shaped, ranging from 50 to 100 mm, with a pattern of squarish yellow, orange, or brown spots. The surface texture of the shell is highly variable, ranging from smooth and polished to grooved, granulated, or even nodulose on the whorls' shoulders. Semicassis granulata lives primarily in the intertidal and subtidal zones, often found on sandy substrates in the tropical and subtropical regions of the Western Atlantic Ocean, from North Carolina to Uruguay. During spring, female snails lay eggs in distinctive tower-shaped structures, and the hatching larvae can remain planktonic for up to 14 weeks. It shares some morphological similarities with Tonna pennata, such as the overall shape and granulated texture, yet markedly contrasts with Thylacodes riisei, which is the most morphologically different within the studied group. The shell's distance to mean shape indicates it is a typical representative of forms found in the Gulf of California.","La especie Semicassis granulata, comúnmente conocida como el bonete escocés, es un caracol marino de tamaño mediano a grande de la subfamilia Cassinae. La concha es característicamente de forma ovoide, variando de 50 a 100 mm, con un patrón de manchas cuadradas de color amarillo, naranja o marrón. La textura de la superficie de la concha es altamente variable, yendo desde lisa y pulida hasta surcada, granulada o incluso nodulosa en los hombros de las espiras. Semicassis granulata vive principalmente en las zonas intermareales y submareales, frecuentemente encontrándose en sustratos arenosos de las regiones tropicales y subtropicales del océano Atlántico Occidental, desde Carolina del Norte hasta Uruguay. Durante la primavera, las hembras ponen huevos en estructuras en forma de torre, y las larvas al eclosionar pueden permanecer planctónicas durante hasta 14 semanas. Comparte algunas similitudes morfológicas con Tonna pennata, como la forma general y la textura granulada, aunque contrasta marcadamente con Thylacodes riisei, que es el más morfológicamente diferente dentro del grupo estudiado. La distancia de la forma media de la concha indica que es un representante típico de las formas encontradas en el Golfo de California.",Wikipedia: Scotch bonnet (sea snail) | WoRMS: Not available
Macrocypraea_zebra,90.697,Macrocypraea_cervus,7.185,Caecum_heptagonum,584.992,"Macrocypraea zebra, known as the measled cowrie, is a marine gastropod mollusk within the family Cypraeidae. This species typically displays a long oval shell shape, which ranges from 32 mm to 133 mm in length, with an average size of 60–70 mm. The shell's surface is smooth and shiny, predominantly brown with three wide dark brown bands and numerous white-bluish spots. These spots on the sides exhibit ocellated features containing small dark brown centers. The base of the shell is pale brown, while the aperture is long, narrow, and adorned with dark brown labial teeth; the shell interior may feature a purple coloration. The mantle of the living cowrie is greyish with short sensory papillae, capable of enveloping the shell entirely or retracting when threatened.

Distributed across the Atlantic Ocean from North Carolina and Florida, through the Gulf of Mexico, the Caribbean Sea, the West Indies to Brazil, Macrocypraea zebra inhabits tropical low intertidal and subtidal zones, typically around coral reefs or beneath rocks. It is found at depths ranging from 0 to 37 meters.

Macrocypraea zebra exhibits morphological similarities with Macrocypraea cervus, distinguished primarily by the ocellated spots that are absent in the latter. In contrast, Caecum heptagonum presents the greatest morphological divergence. With a distance to the mean shape of 90697, Macrocypraea zebra is more central in the morphological diversity found in the Gulf, representing a typical form for the region.","Macrocypraea zebra, conocida como la caracola measled, es un molusco gasterópodo marino dentro de la familia Cypraeidae. Esta especie generalmente muestra una forma de concha ovalada larga, que varía de 32 mm a 133 mm de longitud, con un tamaño promedio de 60–70 mm. La superficie de la concha es lisa y brillante, predominantemente marrón con tres bandas anchas de color marrón oscuro y numerosas manchas blanco-azuladas. Estas manchas en los lados presentan características oceladas que contienen pequeños centros de color marrón oscuro. La base de la concha es de color marrón claro, mientras que la abertura es larga, estrecha y adornada con dientes labiales de color marrón oscuro; el interior de la concha puede presentar una coloración púrpura. El manto de la caracola viva es grisáceo con papilas sensoriales cortas, capaz de envolver completamente la concha o retraerse cuando está amenazada.

Distribuida a lo largo del Océano Atlántico desde Carolina del Norte y Florida, a través del Golfo de México, el Mar Caribe, las Indias Occidentales hasta Brasil, Macrocypraea zebra habita en zonas intermareales bajas tropicales y submareales, típicamente alrededor de arrecifes de coral o debajo de rocas. Se encuentra a profundidades que van de 0 a 37 metros.

Macrocypraea zebra exhibe similitudes morfológicas con Macrocypraea cervus, distinguida principalmente por las manchas oceladas que están ausentes en esta última. En contraste, Caecum heptagonum presenta la mayor divergencia morfológica. Con una distancia al promedio de forma de 90697, Macrocypraea zebra es más central en la diversidad morfológica encontrada en el Golfo, representando una forma típica para la región.",Wikipedia: Macrocypraea zebra | Wikipedia: Macrocypraea
Columbella_mercatoria,90.758,Columbella_aureomexicana,61.932,Thylacodes_riisei,569.423,"Columbella mercatoria is a marine gastropod mollusk belonging to the family Columbellidae, commonly referred to as dove snails. The species was first described by Linnaeus in 1758. The shell of Columbella mercatoria reaches a length of up to 14.6 mm. It features a typical columbellid shape, with a robust and solid structure. The shell's surface is often ornamented with distinct spiral ribbing. The coloration generally includes shades of brown or gray, contributing to its camouflage among rocky substrates. Columbella mercatoria exhibits morphological similarities with Columbella aureomexicana, sharing attributes such as shell structure and ornamentation. In contrast, it is significantly different in morphology from species like Thylacodes riisei. Columbella mercatoria is central to the Gulf of California molluscan assemblage, typifying the region's biodiversity. The genus Columbella includes several species characterized by small solid shells with varying degrees of sculpting and coloration patterns.","Columbella mercatoria es un molusco gasterópodo marino perteneciente a la familia Columbellidae, comúnmente conocido como caracoles de paloma. La especie fue descrita por primera vez por Linnaeus en 1758. La concha de Columbella mercatoria alcanza una longitud de hasta 14,6 mm. Presenta una forma típica columbélida, con una estructura robusta y sólida. La superficie de la concha suele estar ornamentada con estrías espirales bien definidas. La coloración generalmente incluye tonos de marrón o gris, contribuyendo a su camuflaje entre los sustratos rocosos. Columbella mercatoria exhibe similitudes morfológicas con Columbella aureomexicana, compartiendo atributos como la estructura y ornamentación de la concha. En contraste, es significativamente diferente en morfología de especies como Thylacodes riisei. Columbella mercatoria es central en el conjunto de moluscos del Golfo de California, tipificando la biodiversidad de la región. El género Columbella incluye varias especies caracterizadas por conchas pequeñas y sólidas con distintos grados de esculpido y patrones de coloración.",Wikipedia: Columbella mercatoria | Wikipedia: Columbella
