Species,Procrustes_distance_to_mean_shape,ficha_en,ficha_es,fuentes_wikipedia
Caecum_heptagonum,589.857,"Caecum heptagonum is a marine gastropod micromollusk in the family Caecidae. It belongs to the Kingdom Animalia, Phylum Mollusca, Class Gastropoda, Subclass Caenogastropoda, Order Littorinimorpha, and Genus Caecum. Members of this genus are minute sea snails known also as blind shells. These species are distributed worldwide in warm and temperate seas, typically inhabiting sponges, sandy spots on reefs, or grassy beds in bays and lagoons. The shell of Caecum species is unique as it transitions from a spiral shape in the juvenile stages to a cylindrical tube in adults, with a length ranging between 2 mm and 6 mm. The coloration varies from white to yellowish-white, sometimes appearing almost translucent. The teleoconch is generally sealed with a calcareous plug at one end, and the aperture at the other end can be closed with a circular multispiral operculum. The shells may have a smooth surface or be ornamented with annular ridges. The species feeds on one-celled organisms present on sand grains or pebbles. The specific morphology of Caecum heptagonum as measured by Procrustes distance to the mean shape is notably high, indicating a divergent shell form from the group average.","Caecum heptagonum es un micromolusco gasterópodo marino de la familia Caecidae. Pertenece al Reino Animalia, Filo Mollusca, Clase Gastropoda, Subclase Caenogastropoda, Orden Littorinimorpha y Género Caecum. Los miembros de este género son diminutos caracoles marinos conocidos también como conchas ciegas. Estas especies se distribuyen mundialmente en mares cálidos y templados, habitando típicamente esponjas, áreas arenosas en arrecifes o lechos de hierba en bahías y lagunas. La concha de las especies Caecum es única ya que transiciona de una forma espiral en los estadios juveniles a un tubo cilíndrico en los adultos, con una longitud que varía entre 2 mm y 6 mm. La coloración varía de blanco a blanco amarillento, a veces pareciendo casi translúcida. El teleoconcha generalmente se sella con un tapón calcáreo en un extremo, y la abertura en el otro extremo puede cerrarse con un opérculo multiespiral circular. Las conchas pueden tener una superficie lisa o estar ornamentadas con crestas anulares. La especie se alimenta de organismos unicelulares presentes en los granos de arena o guijarros. La morfología específica de Caecum heptagonum medida por la distancia de Procrustes al promedio de la forma es notablemente alta, indicando una forma de concha divergente del promedio del grupo.",Wikipedia: Caecum (gastropod) | Wikipedia: Cecum | WoRMS: https://www.marinespecies.org
Caecum_clathratum,416.165,"Caecum clathratum, described by P. P. Carpenter in 1857, is a species of minute marine gastropod mollusk in the family Caecidae, known as blind shells. These are small sea snails, part of the genus Caecum, which are found in marine environments. The teleoconch of the adult shell is a curving tube, initially spiral-shaped and becomes cylindrical. Typically, the shells are white to yellowish white and some maybe almost translucent. The genus Caecum is distributed worldwide, occurring in warm and temperate seas, often inhabiting sponges, sandy spots on reefs, or grassy beds in shallow waters in bays and lagoons.","Caecum clathratum, descrito por P. P. Carpenter en 1857, es una especie de molusco gasterópodo marino diminuto de la familia Caecidae, conocida como conchas ciegas. Estos son pequeños caracoles marinos, parte del género Caecum, que se encuentran en ambientes marinos. El teleoconcha del caparazón adulto es un tubo curvado, inicialmente en forma de espiral y se torna cilíndrico. Normalmente, las conchas son de color blanco a blanco amarillento y algunas pueden ser casi translúcidas. El género Caecum se distribuye mundialmente, ocurriendo en mares cálidos y templados, a menudo habitando esponjas, puntos arenosos en arrecifes, o praderas en aguas poco profundas en bahías y lagunas.",Wikipedia: Caecum (gastropod) | WoRMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=575879
Caecum_laeve,410.589,"Caecum laeve is a species within the Animalia kingdom, under the phylum Mollusca, and class Gastropoda. It belongs to the subclass Caenogastropoda and order Littorinimorpha. This species is part of the family Caecidae, commonly referred to as blind shells. Caecum laeve was first described by C. B. Adams in 1852. This species is a type of minute sea snail known as a micromollusc. The Procrustes distance to mean shape value for Caecum laeve is exceptionally high, indicating a highly divergent shell form from the group average.","Caecum laeve es una especie dentro del reino Animalia, bajo el filo Mollusca y clase Gastropoda. Pertenece a la subclase Caenogastropoda y al orden Littorinimorpha. Esta especie es parte de la familia Caecidae, comúnmente conocida como conchas ciegas. Caecum laeve fue descrito por primera vez por C. B. Adams en 1852. Esta especie es un tipo de pequeño caracol marino conocido como micromolusco. Las fuentes no proporcionan información detallada específicamente sobre su morfología o distribución. El valor de la distancia de Procrustes a la forma media para Caecum laeve es excepcionalmente alto, lo que indica una forma de concha muy divergente del promedio del grupo.",WoRMS: https://www.marinespecies.org
Eualetes_centiquadrus,408.792,"Eualetes centiquadrus, originally named Aletes centriquadrus and later accepted under its current name, was first described in 1846 by Valenciennes. It belongs to the genus Eualetes, known for species with variations in shell morphology. Although specific tulipa, which have irregularly coiled, tube-like shells. This genus's shells display a divergent morphology indicated by a Procrustes distance value of 40,879,241,561,137,500, suggesting a considerable deviation from the average shell form within the genus. The taxonomy and synonymy information includes its historical name and synonym Aletes centriquadrus var. imbricatus.","Eualetes centiquadrus, originalmente denominado Aletes centriquadrus y posteriormente aceptado con su nombre actual, fue descrito por primera vez en 1846 por Valenciennes. Pertenece al género Eualetes, conocido por especies con variaciones en la morfología de la concha. Aunque no se encontraron detalles específicos sobre las características de la concha de Eualetes centiquadrus, probablemente sea similar a otras especies del género Eualetes, como E. tulipa, que tienen conchas de forma irregularmente enrolladas, parecidas a tubos. Las conchas de este género muestran una morfología divergente indicada por un valor de distancia Procrustes de 40,879,241,561,137,500, que sugiere una desviación considerable de la forma promedio de la concha dentro del género. La información de taxonomía y sinonimia incluye su nombre histórico y el sinónimo Aletes centriquadrus var. imbricatus.",WoRMS: https://marinespecies.org | MolluscaBase: https://molluscabase.org
Caecum_firmatum,388.608,"Caecum firmatum is a species within the genus Caecum, which belongs to the family Caecidae. These marine gastropods are known as blind shells. The genus Caecum is characterized by their minute size, with shells typically ranging from 2 mm to 6 mm in length. The shells are unusual for being a curving tube for most of their length, starting as a spiral-shaped form then becoming cylindrical. They are generally white to yellowish-white and may be almost translucent. The teleoconch stage of the shell is sealed with a permanent calcareous plug on one end, and the aperture is closed by a circular multispiral horny operculum when the animal retracts. Caecum species typically inhabit warm and temperate seas globally, with many residing in sandy spots on reefs, in sponges, or in grassy beds in shallow waters, often in bays and lagoons. These snails feed on one-celled organisms found on sand grains or pebbles. They exhibit a smooth shell texture or sometimes intricate sculpture comprised of close-set annular ridges.","Caecum firmatum es una especie dentro del género Caecum, que pertenece a la familia Caecidae. Estos gasterópodos marinos son conocidos como conchas ciegas. El género Caecum se caracteriza por su tamaño diminuto, con conchas que generalmente varían de 2 mm a 6 mm de longitud. Las conchas son inusuales por ser un tubo curvado en la mayor parte de su longitud, comenzando con una forma espiral y luego volviéndose cilíndricas. Generalmente son blancas a blanco amarillentas y pueden ser casi translúcidas. La etapa del teleoconcha de la concha está sellada con un tapón calcáreo permanente en un extremo, y la apertura se cierra con un opérculo córneo multiespiral circular cuando el animal se retrae. Las especies de Caecum habitan típicamente en mares cálidos y templados a nivel mundial, con muchas residiendo en lugares arenosos en arrecifes, en esponjas o en lechos de pasto en aguas poco profundas, a menudo en bahías y lagunas. Estos caracoles se alimentan de organismos unicelulares que se encuentran en granos de arena o guijarros. Presentan una textura de concha lisa o a veces una escultura intrincada compuesta por crestas anulares muy juntas.",Wikipedia: Caecum (gastropod) | WoRMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=545361
Homalocantha_oxyacantha,380.141,"Homalocantha oxyacantha is a species of sea snail, a marine gastropod mollusk belonging to the family Muricidae, commonly known as murex or rock snails. The species resides within the Homalocantha genus. This genus is confirmed to belong to the Muricidae family due to radula characteristics, although its placement in the subfamily Muricopsinae is uncertain.

The shell of Homalocantha oxyacantha does not exhibit detailed morphological characteristics on Wikipedia such as size, shape, or specific ornamentations. The shell exhibits a Procrustes distance to mean shape of 380141, suggesting it has a highly divergent shell form compared to the average shape within its taxonomic group. This implies a distinctive morphology.

No specific ecological or habitat information was found for Homalocantha oxyacantha.","Homalocantha oxyacantha es una especie de caracol marino, un molusco gasterópodo marino perteneciente a la familia Muricidae, comúnmente conocidos como caracoles murex o caracoles de roca. La especie pertenece al género Homalocantha. Este género se confirma que pertenece a la familia Muricidae debido a las características de la rádula, aunque su ubicación en la subfamilia Muricopsinae es incierta.

La concha de Homalocantha oxyacantha no exhibe características morfológicas detalladas en Wikipedia, como tamaño, forma o ornamentaciones específicas. La concha presenta una distancia de Procrustes respecto a la forma media de 380141, lo que sugiere una forma de concha muy divergente en comparación con la forma promedio dentro de su grupo taxonómico, lo que implica una morfología distintiva.

No se encontraron detalles específicos sobre la ecología o el hábitat de Homalocantha oxyacantha.",Wikipedia: Homalocantha oxyacantha | Wikipedia: Homalocantha
Hastula_luctuosa,370.829,"Hastula luctuosa is a species of marine gastropod mollusk in the family Terebridae, commonly known as auger snails. It falls under the Kingdom Animalia, Phylum Mollusca, and Class Gastropoda, specifically belonging to the Order Neogastropoda. This species was first identified by Hinds in 1844. While specific details on this species were limited, members of the genus Hastula are characterized by smooth and glossy shells that are highly turreted with impressed sutures. The shells often lack spiral sculpture but may exhibit weak axial sculptures. These snails are carnivorous, preying on polychaete worms, and typically inhabit sandy environments, burrowing into the substrate. Hastula species are predominantly distributed in the Indo-Pacific region, including areas like Australia and Tasmania.","Hastula luctuosa es una especie de molusco gasterópodo marino de la familia Terebridae, comúnmente conocida como caracoles broca. Pertenece al reino Animalia, al filo Mollusca y a la clase Gastropoda, especialmente al orden Neogastropoda. Esta especie fue identificada por primera vez por Hinds en 1844. Aunque los detalles específicos sobre esta especie son limitados, los miembros del género Hastula se caracterizan por conchas lisas y brillantes que son altamente torretadas con suturas impresionadas. Las conchas a menudo carecen de escultura espiral pero pueden exhibir esculturas axiales débiles. Estos caracoles son carnívoros, se alimentan de gusanos poliquetos y habitan típicamente en ambientes arenosos, enterrándose en el sustrato. Las especies de Hastula se distribuyen predominantemente en la región del Indo-Pacífico, incluyendo áreas como Australia y Tasmania.",Wikipedia: Hastula | WoRMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=208369
Caecum_teres,356.635,"The species Caecum teres is a small marine gastropod, part of the micromollusks in the family Caecidae. These gastropods are typically found in warm and temperate seas and are often located in sponges, sandy spots on reefs, or grassy beds in shallow waters within bays and lagoons. The shell of Caecum species is generally between 2 mm and 6 mm in length and is white to yellowish, sometimes almost translucent. The adult shell is a curving tube, starting spiral-shaped and becoming cylindrical, sealed with a permanent calcareous plug at one end and a circular, multispiral, horny operculum at the other. The texture is smooth or displays numerous annular ridges. Caecids feed on one-celled organisms on sand grains or pebbles. The Procrustes distance indicates that Caecum teres has a highly divergent shell form compared to typical members of its genus.","La especie Caecum teres es un pequeño gasterópodo marino, parte de los micromoluscos en la familia Caecidae. Estos gasterópodos se encuentran típicamente en mares cálidos y templados, y a menudo se localizan en esponjas, en zonas arenosas de arrecifes o en lechos de hierbas en aguas poco profundas dentro de bahías y lagunas. La concha de las especies de Caecum generalmente mide entre 2 mm y 6 mm de longitud y es de color blanco a amarillento, a veces casi translúcida. La concha del adulto es un tubo curvado, que comienza en forma espiral y se vuelve cilíndrico, sellado con un tapón calcáreo permanente en un extremo y un opérculo córneo multiespiral circular en el otro. La textura es lisa o presenta numerosos anillos. Los cáecidos se alimentan de organismos unicelulares en granos de arena o guijarros. La distancia de Procrustes indica que Caecum teres tiene una forma de concha altamente divergente en comparación con los miembros típicos de su género.",Wikipedia: Caecum (gastropod)
Eupleura_muriciformis,355.936,"- Taxonomic Classification: Kingdom Animalia, Phylum Mollusca, Class Gastropoda, Subclass Caenogastropoda, Order Neogastropoda.
- Shell Morphology: Specific morphology details are not directly available, but as a member of the family Muricidae, it may share characteristics like a robust, spiny or ridged surface.
- Geographic Distribution: Not detailed in the provided sources.
- Ecological Notes: The Procrustes distance of 3559358298829880 indicates a highly divergent shell form compared to the group average, suggesting unique morphological adaptations or evolutionary pathways.","- Clasificación taxonómica: Reino Animalia, Filo Mollusca, Clase Gastropoda, Subclase Caenogastropoda, Orden Neogastropoda.
- Morfología del caparazón: No se dispone de detalles específicos sobre la morfología, pero como miembro de la familia Muricidae, puede compartir características como una superficie robusta, espinosa o acanalada.
- Distribución geográfica: No detallado en las fuentes proporcionadas.
- Notas ecológicas: La distancia de Procrustes de 3559358298829880 indica una forma de caparazón altamente divergente en comparación con el promedio del grupo, lo que sugiere adaptaciones morfológicas o caminos evolutivos únicos.",WoRMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=408427
Cypraecassis_tenuis,315.242,"The marine gastropod species Cypraecassis tenuis belongs to the family Cassidae, which includes medium-sized to large sea snails known for their distinctive shell characteristics. This species was initially described by Wood in 1828. The genus Cypraecassis is characterized as having fossils found from the Miocene to the Quaternary period, with fossil records located in Europe, Central America, and India. Cypraecassis tenuis is one of the species within this genus, alongside others like Cypraecassis coarctata and Cypraecassis rufa.

With a Procrustes distance to mean shape of 315242, the shell of Cypraecassis tenuis is morphologically more divergent compared to the average shape within its group, indicating a distinctive shell form. The genus Cypraecassis is made up of snails with shells that are typically medium to large in size and may have been found in various marine strata. Fossils associated with this genus suggest a wide geographical distribution in historical epochs.","La especie de gasterópodo marino Cypraecassis tenuis pertenece a la familia Cassidae, que incluye caracoles marinos de tamaño mediano a grande conocidos por sus características distintivas del caparazón. Esta especie fue descrita por primera vez por Wood en 1828. El género Cypraecassis se caracteriza por tener fósiles encontrados desde el Mioceno hasta el Cuaternario, con registros fósiles ubicados en Europa, Centroamérica e India. Cypraecassis tenuis es una de las especies dentro de este género, junto con otras como Cypraecassis coarctata y Cypraecassis rufa.

Con una distancia Procrustes respecto a la forma media de 315242, el caparazón de Cypraecassis tenuis es morfológicamente más divergente en comparación con la forma promedio dentro de su grupo, lo que indica una forma de caparazón distintiva. El género Cypraecassis está formado por caracoles con conchas que suelen ser de tamaño mediano a grande y se pueden haber encontrado en varios estratos marinos. Los fósiles asociados a este género sugieren una amplia distribución geográfica en épocas históricas.",Wikipedia: Cypraecassis tenuis | Wikipedia: Cypraecassis
